timestamp,transmitting,frequency,symbolrate,channel_1,channel_2,channel_3,timestamp_accuracy,remarks
2019-08-07 06:18:00,1,137.9,72000,64,65,66,m,
2019-08-08 18:56:00,1,137.1,72000,64,65,66,m,
